customer_id,status_customer,income_customer,vocation_package,total_spend,country
1,inactive,$896,basic,$142,China
2,active,$626,basic,$288,China
3,pending,$530,basic,$284,Colombia
4,inactive,$837,basic,$299,Sweden
5,pending,$896,basic,$178,Indonesia
6,inactive,$776,deluxe,$195,China
7,active,$903,premium,$235,Thailand
8,active,$982,premium,$150,Russia
9,pending,$564,basic,$90,Sweden
10,inactive,$543,deluxe,$73,Sweden
11,pending,$870,deluxe,$126,Poland
12,inactive,$650,basic,$192,Cuba
13,pending,$958,premium,$87,Ukraine
14,pending,$541,basic,$136,Philippines
15,inactive,$745,deluxe,$233,Philippines
16,inactive,$693,premium,$267,Indonesia
17,inactive,$886,deluxe,$212,Kazakhstan
18,active,$992,deluxe,$214,China
19,inactive,$547,deluxe,$125,Nigeria
20,pending,$840,basic,$58,China
21,inactive,$575,premium,$76,Brazil
22,active,$958,premium,$255,Czech Republic
23,inactive,$940,basic,$232,China
24,inactive,$662,basic,$140,Poland
25,inactive,$511,premium,$259,Mexico
26,pending,$972,premium,$176,Vietnam
27,pending,$604,deluxe,$264,Palestinian Territory
28,inactive,$738,premium,$183,Ireland
29,inactive,$862,basic,$278,Kazakhstan
30,active,$547,basic,$63,Ireland
31,active,$669,deluxe,$297,France
32,inactive,$638,deluxe,$63,Poland
33,active,$750,basic,$205,Albania
34,inactive,$842,deluxe,$277,Philippines
35,inactive,$530,basic,$75,Russia
36,inactive,$517,basic,$115,Malawi
37,pending,$644,deluxe,$207,Kazakhstan
38,pending,$510,premium,$160,Moldova
39,active,$669,premium,$297,China
40,active,$542,deluxe,$103,Albania
41,pending,$715,deluxe,$265,China
42,inactive,$904,premium,$206,Jordan
43,inactive,$998,deluxe,$289,Kyrgyzstan
44,pending,$504,deluxe,$199,United States
45,pending,$536,deluxe,$128,Poland
46,pending,$780,deluxe,$113,Guatemala
47,pending,$501,premium,$190,China
48,active,$632,deluxe,$138,Poland
49,active,$655,basic,$86,Colombia
50,pending,$717,deluxe,$127,United States
51,inactive,$532,basic,$286,Ecuador
52,inactive,$587,premium,$133,Brazil
53,inactive,$741,premium,$294,Poland
54,active,$806,premium,$191,Indonesia
55,active,$857,deluxe,$104,Indonesia
56,pending,$553,basic,$84,China
57,inactive,$742,basic,$274,Philippines
58,inactive,$505,premium,$74,Poland
59,active,$780,basic,$117,Malaysia
60,active,$893,premium,$110,Philippines
61,inactive,$758,basic,$83,Poland
62,inactive,$844,premium,$257,Norway
63,active,$561,basic,$232,China
64,pending,$953,deluxe,$260,Poland
65,pending,$852,basic,$201,Finland
66,inactive,$894,deluxe,$265,China
67,inactive,$960,basic,$144,Philippines
68,pending,$602,deluxe,$77,Russia
69,pending,$919,deluxe,$174,Indonesia
70,pending,$932,basic,$246,Brazil
71,active,$624,premium,$260,Ukraine
72,pending,$544,premium,$211,Indonesia
73,active,$899,basic,$261,United States
74,inactive,$956,deluxe,$131,Croatia
75,inactive,$932,basic,$135,China
76,active,$584,deluxe,$150,Russia
77,inactive,$639,basic,$50,Yemen
78,pending,$900,basic,$166,Greece
79,pending,$532,deluxe,$73,Saint Vincent and the Grenadines
80,active,$528,basic,$169,Greece
81,inactive,$787,basic,$173,China
82,inactive,$591,premium,$231,Philippines
83,active,$564,deluxe,$254,Kuwait
84,pending,$539,deluxe,$123,Brazil
85,pending,$608,deluxe,$125,China
86,inactive,$793,basic,$178,Philippines
87,inactive,$883,deluxe,$140,Costa Rica
88,active,$780,basic,$52,Moldova
89,active,$588,basic,$90,Poland
90,active,$925,premium,$226,South Africa
91,inactive,$554,basic,$64,Ukraine
92,pending,$782,deluxe,$78,China
93,active,$815,deluxe,$71,Indonesia
94,inactive,$865,deluxe,$257,Portugal
95,pending,$757,deluxe,$52,Ukraine
96,inactive,$531,basic,$248,China
97,active,$717,premium,$155,Brazil
98,inactive,$954,deluxe,$196,China
99,inactive,$788,deluxe,$266,Germany
100,inactive,$910,deluxe,$54,China
101,pending,$509,deluxe,$110,United States
102,pending,$758,premium,$53,Thailand
103,inactive,$696,premium,$68,Turkmenistan
104,inactive,$660,basic,$225,China
105,active,$962,basic,$243,Colombia
106,active,$512,premium,$141,Croatia
107,active,$912,premium,$209,Indonesia
108,active,$793,premium,$193,Indonesia
109,active,$661,premium,$232,Mongolia
110,pending,$837,deluxe,$259,Russia
111,active,$714,premium,$97,Russia
112,inactive,$627,deluxe,$210,Poland
113,inactive,$771,basic,$153,Thailand
114,active,$803,deluxe,$193,Thailand
115,pending,$915,premium,$92,Indonesia
116,inactive,$745,deluxe,$74,United States
117,inactive,$595,basic,$137,Iran
118,pending,$650,premium,$123,Pakistan
119,pending,$741,deluxe,$127,China
120,active,$833,basic,$276,China
121,inactive,$613,basic,$263,United Arab Emirates
122,inactive,$618,premium,$152,Croatia
123,active,$982,basic,$107,Indonesia
124,inactive,$724,basic,$212,Palestinian Territory
125,active,$962,deluxe,$289,China
126,inactive,$759,deluxe,$289,Greece
127,pending,$536,basic,$85,France
128,pending,$949,deluxe,$86,China
129,pending,$560,premium,$284,Indonesia
130,pending,$533,premium,$70,Philippines
131,pending,$757,premium,$63,Japan
132,active,$719,deluxe,$195,Croatia
133,pending,$555,basic,$191,Egypt
134,inactive,$556,basic,$193,North Korea
135,inactive,$705,basic,$224,Indonesia
136,pending,$726,premium,$258,Israel
137,active,$537,premium,$124,Portugal
138,inactive,$650,deluxe,$206,Russia
139,active,$624,basic,$291,China
140,pending,$894,deluxe,$124,Norway
141,inactive,$809,basic,$67,China
142,inactive,$531,premium,$249,China
143,pending,$564,deluxe,$144,China
144,pending,$539,premium,$252,Thailand
145,active,$836,premium,$159,China
146,inactive,$837,basic,$175,Indonesia
147,inactive,$866,deluxe,$237,Indonesia
148,active,$657,premium,$291,Philippines
149,active,$754,basic,$202,Peru
150,inactive,$856,premium,$292,Japan
151,inactive,$786,deluxe,$74,Greece
152,active,$793,premium,$113,Indonesia
153,inactive,$725,premium,$97,Russia
154,active,$707,deluxe,$213,Pakistan
155,inactive,$514,premium,$138,Dominican Republic
156,inactive,$807,basic,$189,Philippines
157,pending,$925,deluxe,$194,Brazil
158,pending,$811,premium,$89,United States
159,inactive,$589,basic,$290,Dominican Republic
160,pending,$542,basic,$117,Indonesia
161,pending,$632,deluxe,$103,Germany
162,inactive,$584,basic,$52,Gambia
163,active,$873,basic,$132,China
164,inactive,$632,basic,$178,Turkmenistan
165,active,$867,premium,$123,Brazil
166,inactive,$990,basic,$229,China
167,inactive,$881,deluxe,$275,Colombia
168,active,$717,deluxe,$143,Vietnam
169,active,$684,premium,$173,Russia
170,pending,$882,basic,$79,Sweden
171,active,$860,basic,$161,Czech Republic
172,active,$698,basic,$89,Russia
173,active,$896,premium,$277,Thailand
174,active,$980,basic,$60,Djibouti
175,pending,$503,basic,$176,Mexico
176,pending,$766,basic,$256,South Korea
177,active,$746,basic,$58,Japan
178,active,$515,basic,$300,Russia
179,pending,$896,premium,$67,Madagascar
180,inactive,$904,premium,$227,Portugal
181,active,$614,premium,$103,United States
182,pending,$622,premium,$144,Portugal
183,pending,$883,basic,$211,Norway
184,pending,$756,basic,$189,China
185,pending,$734,premium,$252,China
186,inactive,$836,premium,$61,Japan
187,inactive,$642,deluxe,$261,China
188,pending,$810,basic,$247,Russia
189,pending,$928,basic,$63,Colombia
190,pending,$674,premium,$151,Philippines
191,inactive,$972,premium,$68,Portugal
192,active,$567,deluxe,$188,Tajikistan
193,pending,$728,premium,$177,United States
194,pending,$915,premium,$272,Botswana
195,pending,$882,basic,$243,Argentina
196,active,$596,deluxe,$148,Kazakhstan
197,active,$994,deluxe,$64,Finland
198,inactive,$587,premium,$196,Indonesia
199,active,$890,premium,$132,Guatemala
200,inactive,$853,premium,$283,Uganda
201,pending,$652,premium,$153,France
202,pending,$764,premium,$146,Indonesia
203,inactive,$973,deluxe,$83,Ukraine
204,pending,$557,premium,$88,China
205,inactive,$887,basic,$145,Finland
206,inactive,$514,premium,$165,Iraq
207,inactive,$930,premium,$141,Iraq
208,pending,$622,premium,$162,Indonesia
209,inactive,$536,deluxe,$255,Nigeria
210,inactive,$772,premium,$59,Philippines
211,active,$545,deluxe,$199,China
212,inactive,$671,basic,$207,China
213,pending,$579,premium,$222,Kenya
214,pending,$903,deluxe,$300,Russia
215,inactive,$546,premium,$267,Uganda
216,pending,$628,basic,$185,Pakistan
217,pending,$540,basic,$138,Russia
218,active,$923,basic,$284,Portugal
219,pending,$599,deluxe,$205,China
220,active,$693,basic,$181,New Zealand
221,active,$857,basic,$208,Indonesia
222,inactive,$745,deluxe,$64,Nepal
223,active,$602,premium,$261,Indonesia
224,pending,$593,deluxe,$186,China
225,inactive,$692,premium,$275,China
226,active,$744,deluxe,$281,Albania
227,active,$584,premium,$185,Chile
228,inactive,$916,basic,$186,Peru
229,active,$673,deluxe,$275,Indonesia
230,pending,$965,basic,$72,Brazil
231,active,$678,deluxe,$135,Argentina
232,inactive,$922,deluxe,$115,Indonesia
233,active,$979,premium,$221,Philippines
234,active,$714,basic,$56,Chad
235,pending,$704,premium,$288,Belarus
236,active,$820,deluxe,$84,China
237,active,$602,deluxe,$167,China
238,active,$980,premium,$162,China
239,inactive,$965,premium,$162,Vietnam
240,active,$751,deluxe,$170,Czech Republic
241,active,$649,basic,$158,Uruguay
242,inactive,$921,premium,$95,Egypt
243,pending,$965,basic,$214,Costa Rica
244,active,$727,deluxe,$271,Tunisia
245,inactive,$999,premium,$105,Ukraine
246,inactive,$660,premium,$227,Pakistan
247,active,$618,deluxe,$187,Malaysia
248,inactive,$860,basic,$208,Peru
249,inactive,$501,basic,$68,China
250,pending,$798,basic,$177,Colombia
251,inactive,$735,basic,$90,Indonesia
252,active,$802,premium,$169,Serbia
253,active,$821,deluxe,$255,Mexico
254,pending,$808,basic,$186,Russia
255,inactive,$754,premium,$189,China
256,pending,$693,deluxe,$218,Ukraine
257,inactive,$557,deluxe,$136,Russia
258,inactive,$552,basic,$87,Uzbekistan
259,active,$866,basic,$110,Seychelles
260,active,$760,basic,$231,Indonesia
261,active,$622,deluxe,$103,United States
262,pending,$641,deluxe,$151,Canada
263,pending,$615,premium,$287,Indonesia
264,active,$615,basic,$79,United States
265,active,$947,deluxe,$228,Albania
266,inactive,$885,basic,$216,Russia
267,pending,$672,premium,$124,Indonesia
268,inactive,$879,deluxe,$300,Armenia
269,active,$983,deluxe,$61,Armenia
270,inactive,$804,basic,$87,Ukraine
271,pending,$993,basic,$285,China
272,active,$993,deluxe,$174,Russia
273,active,$729,basic,$207,Russia
274,active,$728,premium,$74,France
275,active,$814,basic,$191,Philippines
276,pending,$784,basic,$272,Japan
277,pending,$859,premium,$164,China
278,inactive,$935,premium,$135,Czech Republic
279,inactive,$735,deluxe,$252,Philippines
280,inactive,$960,premium,$195,Japan
281,pending,$925,deluxe,$292,Indonesia
282,active,$642,deluxe,$227,Uzbekistan
283,pending,$568,deluxe,$76,Portugal
284,inactive,$673,basic,$108,Laos
285,inactive,$983,premium,$177,Brazil
286,active,$863,deluxe,$188,Russia
287,inactive,$608,premium,$87,China
288,inactive,$696,deluxe,$197,Nigeria
289,pending,$658,deluxe,$186,Japan
290,inactive,$941,basic,$133,Panama
291,inactive,$646,basic,$165,Brazil
292,active,$948,basic,$150,Sweden
293,active,$513,deluxe,$140,Indonesia
294,active,$612,deluxe,$235,China
295,inactive,$637,basic,$273,Chad
296,active,$974,premium,$192,Uzbekistan
297,pending,$832,basic,$204,China
298,active,$592,deluxe,$181,Argentina
299,active,$880,deluxe,$118,Indonesia
300,inactive,$533,premium,$153,China
301,inactive,$595,deluxe,$257,China
302,pending,$735,premium,$57,Uzbekistan
303,inactive,$924,premium,$239,China
304,inactive,$964,basic,$243,Indonesia
305,pending,$605,basic,$148,Philippines
306,inactive,$767,premium,$257,France
307,pending,$634,basic,$226,Russia
308,active,$785,premium,$280,Ukraine
309,inactive,$798,deluxe,$169,Philippines
310,pending,$652,basic,$161,Japan
311,active,$720,premium,$78,Russia
312,pending,$737,basic,$123,Indonesia
313,pending,$815,premium,$279,Guatemala
314,pending,$611,premium,$219,Colombia
315,pending,$713,basic,$137,Philippines
316,inactive,$971,premium,$229,China
317,pending,$593,premium,$200,China
318,active,$807,basic,$275,Portugal
319,inactive,$919,premium,$269,Indonesia
320,inactive,$501,basic,$219,Tajikistan
321,active,$762,deluxe,$190,Brazil
322,inactive,$800,deluxe,$299,Luxembourg
323,inactive,$974,deluxe,$273,Nicaragua
324,active,$815,deluxe,$222,Portugal
325,inactive,$722,basic,$217,Ethiopia
326,pending,$653,premium,$244,Sweden
327,inactive,$550,premium,$248,United States
328,inactive,$789,premium,$110,China
329,pending,$775,deluxe,$81,Russia
330,inactive,$784,deluxe,$112,Colombia
331,pending,$897,basic,$263,Pakistan
332,active,$519,premium,$285,Indonesia
333,inactive,$977,premium,$130,Philippines
334,inactive,$781,deluxe,$59,Colombia
335,active,$827,deluxe,$81,Cyprus
336,active,$911,deluxe,$91,Russia
