customer_id,status_customer,income_customer,vocation_package,total_spend,country
1,Unmarried,$650,premium,$249,Portugal
2,Married,$746,deluxe,$156,Sweden
3,Unmarried,$857,deluxe,$234,Sweden
4,Married,$705,premium,$267,Micronesia
5,Married,$595,deluxe,$274,China
6,Unmarried,$779,basic,$238,France
7,Unmarried,$923,basic,$275,China
8,Married,"$1,000",premium,$273,Netherlands
9,Unmarried,$683,premium,$138,China
10,Unmarried,$556,basic,$153,Thailand
11,Unmarried,$815,premium,$176,Bulgaria
12,Unmarried,$615,basic,$267,Nigeria
13,Married,$644,premium,$217,Nigeria
14,Unmarried,$946,premium,$205,Ukraine
15,Married,$951,premium,$243,China
16,Married,$834,basic,$58,Argentina
17,Married,$501,deluxe,$232,Indonesia
18,Married,$940,deluxe,$225,Portugal
19,Unmarried,$899,premium,$236,Ukraine
20,Unmarried,$835,deluxe,$253,Brazil
21,Married,$509,deluxe,$69,Indonesia
22,Unmarried,$729,premium,$229,Russia
23,Unmarried,$726,basic,$294,Sweden
24,Unmarried,$542,basic,$151,Brazil
25,Married,$540,deluxe,$81,Mexico
26,Unmarried,$585,premium,$207,Chile
27,Unmarried,$785,basic,$207,Djibouti
28,Unmarried,$911,basic,$260,China
29,Unmarried,$926,deluxe,$149,Guatemala
30,Unmarried,$855,deluxe,$164,China
31,Unmarried,$900,premium,$216,France
32,Married,$691,deluxe,$216,Indonesia
33,Unmarried,$852,basic,$245,China
34,Unmarried,$874,premium,$205,Tanzania
35,Married,$780,basic,$258,Portugal
36,Married,$764,basic,$124,Poland
37,Unmarried,$957,premium,$156,France
38,Unmarried,$669,premium,$58,China
39,Married,$927,deluxe,$190,Brazil
40,Married,$639,deluxe,$248,Cameroon
41,Unmarried,$682,deluxe,$123,China
42,Unmarried,$561,basic,$178,Bolivia
43,Married,$732,premium,$162,Indonesia
44,Married,$930,basic,$287,Georgia
45,Married,$937,premium,$116,Indonesia
46,Married,$718,deluxe,$181,Mexico
47,Married,$690,deluxe,$103,Russia
48,Married,$961,deluxe,$271,China
49,Unmarried,$592,deluxe,$94,Iran
50,Married,$607,basic,$196,Canada
51,Married,$503,deluxe,$282,Indonesia
52,Unmarried,$730,basic,$280,Sweden
53,Married,$858,basic,$276,Belarus
54,Married,$625,deluxe,$128,Russia
55,Unmarried,$906,deluxe,$270,Canada
56,Unmarried,$632,deluxe,$265,Myanmar
57,Married,$716,basic,$215,Brazil
58,Married,$842,premium,$122,Peru
59,Unmarried,$524,premium,$151,Philippines
60,Married,$833,deluxe,$200,Portugal
61,Unmarried,$641,basic,$50,United States
62,Married,$913,basic,$202,Indonesia
63,Unmarried,$768,premium,$139,Syria
64,Married,$594,deluxe,$66,Peru
65,Married,$743,basic,$241,Netherlands
66,Married,$829,basic,$99,Bosnia and Herzegovina
67,Married,$541,deluxe,$204,Russia
