InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,date,Total,recency,Frequency,Monetary,r_quantile,f_quantile,m_quantile,rfm_quantile,Segmentation,target
536567,22867,HAND WARMER BIRD DESIGN,24,12/01/2010 15:27,2.1,16048,United Kingdom,01/12/2010 15:27,50.4,372,2,256.44,1,2,1,121,Lost Customer,Churn
536567,22866,HAND WARMER SCOTTY DOG DESIGN,24,12/01/2010 15:27,2.1,16048,United Kingdom,01/12/2010 15:27,50.4,372,2,256.44,1,2,1,121,Lost Customer,Churn
536567,22865,HAND WARMER OWL DESIGN,24,12/01/2010 15:27,2.1,16048,United Kingdom,01/12/2010 15:27,50.4,372,2,256.44,1,2,1,121,Lost Customer,Churn
536567,21231,SWEETHEART CERAMIC TRINKET BOX,12,12/01/2010 15:27,1.25,16048,United Kingdom,01/12/2010 15:27,15,372,2,256.44,1,2,1,121,Lost Customer,Churn
536567,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,12,12/01/2010 15:27,1.45,16048,United Kingdom,01/12/2010 15:27,17.4,372,2,256.44,1,2,1,121,Lost Customer,Churn
536567,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,12,12/01/2010 15:27,1.45,16048,United Kingdom,01/12/2010 15:27,17.4,372,2,256.44,1,2,1,121,Lost Customer,Churn
536567,22632,HAND WARMER RED RETROSPOT,24,12/01/2010 15:27,2.1,16048,United Kingdom,01/12/2010 15:27,50.4,372,2,256.44,1,2,1,121,Lost Customer,Churn
536568,22915,ASSORTED BOTTLE TOP  MAGNETS ,12,12/01/2010 15:28,0.42,16048,United Kingdom,01/12/2010 15:28,5.04,372,2,256.44,1,2,1,121,Lost Customer,Churn
536777,20975,12 PENCILS SMALL TUBE RED RETROSPOT,24,12/02/2010 15:00,0.65,15732,United Kingdom,02/12/2010 15:00,15.6,211,2,294.12,1,2,1,121,Lost Customer,Churn
536777,21500,PINK POLKADOT WRAP ,25,12/02/2010 15:00,0.42,15732,United Kingdom,02/12/2010 15:00,10.5,211,2,294.12,1,2,1,121,Lost Customer,Churn
536777,85099B,JUMBO BAG RED RETROSPOT,20,12/02/2010 15:00,1.95,15732,United Kingdom,02/12/2010 15:00,39,211,2,294.12,1,2,1,121,Lost Customer,Churn
536777,85099F,JUMBO BAG STRAWBERRY,20,12/02/2010 15:00,1.95,15732,United Kingdom,02/12/2010 15:00,39,211,2,294.12,1,2,1,121,Lost Customer,Churn
536777,22940,FELTCRAFT CHRISTMAS FAIRY,8,12/02/2010 15:00,4.25,15732,United Kingdom,02/12/2010 15:00,34,211,2,294.12,1,2,1,121,Lost Customer,Churn
552838,22384,LUNCH BAG PINK POLKADOT,10,05/11/2011 14:24,1.65,15732,United Kingdom,11/05/2011 14:24,16.5,211,2,294.12,1,2,1,121,Lost Customer,Churn
552838,22383,LUNCH BAG SUKI DESIGN ,10,05/11/2011 14:24,1.65,15732,United Kingdom,11/05/2011 14:24,16.5,211,2,294.12,1,2,1,121,Lost Customer,Churn
552838,20728,LUNCH BAG CARS BLUE,10,05/11/2011 14:24,1.65,15732,United Kingdom,11/05/2011 14:24,16.5,211,2,294.12,1,2,1,121,Lost Customer,Churn
552838,47591D,PINK FAIRY CAKE CHILDRENS APRON,8,05/11/2011 14:24,1.95,15732,United Kingdom,11/05/2011 14:24,15.6,211,2,294.12,1,2,1,121,Lost Customer,Churn
552838,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,05/11/2011 14:24,0.29,15732,United Kingdom,11/05/2011 14:24,13.92,211,2,294.12,1,2,1,121,Lost Customer,Churn
552838,21033,JUMBO BAG CHARLIE AND LOLA TOYS,10,05/11/2011 14:24,2.08,15732,United Kingdom,11/05/2011 14:24,20.8,211,2,294.12,1,2,1,121,Lost Customer,Churn
