date,gender,vacation_package_type,price_range,tickets_sold,customer_id,origin_city
6/25/2022,Bigender,adventure,151,661,1,Cuyotenango
3/22/2022,Female,beach,678,450,2,Ýdra
1/17/2022,Male,beach,152,780,3,Kashmor
9/24/2022,Female,beach,160,350,4,Żychlin
7/18/2022,Non-binary,luxury,59,300,5,Tsurugi-asahimachi
3/10/2022,Female,beach,1296,909,6,Bombon
3/14/2022,Male,adventure,1050,497,7,Stanley
9/5/2022,Female,beach,418,522,8,Stanari
4/24/2022,Male,luxury,947,692,9,Jebba
8/16/2022,Male,luxury,587,803,10,Karangsonojabon
6/16/2022,Genderqueer,luxury,978,451,11,Naghalin
2/19/2022,Male,beach,1292,507,12,Dadianzi
12/28/2022,Genderfluid,luxury,420,701,13,Mabayo
11/18/2022,Female,beach,665,553,14,Paitan Este
1/21/2022,Male,beach,533,120,15,Flic en Flac
9/13/2022,Female,beach,733,684,16,Dusun Tengah Cihaurbeuti
11/13/2022,Female,adventure,576,940,17,Jiangkou
6/13/2022,Male,beach,890,606,18,Pisarzowice
4/10/2022,Female,adventure,872,751,19,Corpus
8/16/2022,Female,luxury,475,804,20,Quince Mil
2/5/2022,Male,adventure,1240,908,21,El Carmen
4/30/2022,Male,beach,168,680,22,Ciénaga
11/3/2022,Male,beach,14,218,23,Lélouma
12/1/2022,Female,luxury,623,7,24,Newbiggin
5/2/2022,Female,beach,688,59,25,Shixi
4/9/2022,Male,adventure,889,204,26,Managua
8/8/2022,Male,adventure,53,937,27,Shirochanka
2/4/2022,Male,adventure,944,953,28,Pacucha
8/10/2022,Female,beach,142,280,29,Zavolzh’ye
8/4/2022,Female,adventure,1237,806,30,Novi Itebej
9/10/2022,Female,luxury,381,208,31,Leloboko
5/3/2022,Female,beach,131,818,32,Wendengying
11/26/2022,Female,beach,129,206,33,Ankola
8/18/2022,Female,luxury,290,169,34,Lunang
3/9/2022,Male,beach,909,712,35,Hitachi
1/29/2022,Bigender,beach,71,829,36,Kekeri
4/21/2022,Male,luxury,802,307,37,Oslo
5/10/2022,Female,luxury,512,990,38,San Miguel
8/12/2022,Female,beach,1211,602,39,Paris 07
7/13/2022,Female,luxury,153,833,40,Jingling
7/11/2022,Female,adventure,398,160,41,Yongping
10/17/2022,Male,beach,54,756,42,Taremskoye
10/20/2022,Female,luxury,1222,818,43,Kinnegad
4/9/2022,Male,luxury,100,735,44,Taiobeiras
11/30/2022,Female,beach,67,874,45,Rožďalovice
5/5/2022,Male,beach,96,957,46,Sundbyberg
2/27/2022,Female,luxury,343,941,47,Fontanka
6/5/2022,Female,adventure,912,265,48,Lyalichi
7/13/2022,Male,luxury,991,915,49,Hamilton
3/11/2022,Female,beach,19,841,50,Si Bun Rueang
10/7/2022,Female,beach,857,917,51,Galtek
11/26/2022,Female,luxury,940,107,52,Hrastnik
9/24/2022,Female,luxury,206,982,53,Jinjia
1/29/2022,Bigender,adventure,151,189,54,Ciguna
8/20/2022,Agender,luxury,591,367,55,Niquelândia
10/26/2022,Female,beach,229,521,56,Pubu
6/18/2022,Female,adventure,702,550,57,Xishaqiao
5/27/2022,Female,beach,457,396,58,Anse à Galets
3/19/2022,Male,adventure,347,599,59,Šalovci
3/31/2022,Male,beach,758,830,60,Ya’ergenchu
2/26/2022,Male,luxury,492,971,61,Philadelphia
1/7/2022,Male,adventure,533,738,62,Krajan
2/2/2022,Polygender,luxury,810,625,63,Padasuka
11/21/2022,Female,beach,439,266,64,Spanish Wells
12/24/2022,Genderqueer,beach,1300,455,65,Villavicencio
11/25/2022,Female,adventure,971,695,66,Ganjur
11/24/2022,Female,luxury,428,972,67,Tuqiao
9/8/2022,Female,beach,921,329,68,Havlíčkův Brod
3/10/2022,Male,adventure,916,364,69,Tsukawaki
7/20/2022,Female,adventure,749,368,70,Sonzacate
9/6/2022,Male,luxury,1202,391,71,Bessonovka
7/29/2022,Male,luxury,543,148,72,Jeseník
1/11/2022,Male,luxury,884,869,73,Bāqim as Sūq
7/28/2022,Female,beach,1211,260,74,Tyrnyauz
2/21/2022,Male,adventure,1141,444,75,Huangzhawan
2/19/2022,Male,adventure,749,167,76,Tanjung
3/31/2022,Male,adventure,605,225,77,Herval
3/23/2022,Female,beach,821,227,78,Hengtang
5/26/2022,Male,adventure,1003,408,79,Molodizhne
5/26/2022,Female,luxury,1274,107,80,Pengxing
9/10/2022,Male,beach,58,653,81,Ban Phai
7/30/2022,Male,luxury,677,718,82,Machado
9/20/2022,Male,beach,605,694,83,Matadi
2/22/2022,Male,beach,80,417,84,Nässjö
5/23/2022,Female,adventure,1056,666,85,David
5/27/2022,Female,adventure,935,145,86,Ragana
6/28/2022,Female,beach,1269,249,87,Dłutów
7/30/2022,Female,adventure,115,538,88,Pégeia
6/10/2022,Male,adventure,9,600,89,Yihe
10/9/2022,Male,beach,1007,106,90,Vorontsovka
11/21/2022,Female,adventure,6,61,91,Huilong
11/21/2022,Female,adventure,621,823,92,Vilnius
2/16/2022,Female,luxury,164,730,93,Krajandadapmulyo
12/8/2022,Female,beach,1150,584,94,Idkū
3/28/2022,Female,adventure,1030,473,95,Nanshan
4/17/2022,Male,luxury,594,962,96,Jiyang
8/26/2022,Male,beach,344,566,97,Cincinnati
3/28/2022,Male,adventure,1078,563,98,Mizhou
2/21/2022,Female,adventure,193,35,99,Volgorechensk
8/5/2022,Female,adventure,174,500,100,Liuhu
10/21/2022,Female,beach,1034,374,101,Mosar
3/4/2022,Male,luxury,447,533,102,‘Anat al Qadīmah
5/11/2022,Female,beach,146,876,103,Berezayka
9/12/2022,Male,adventure,319,698,104,San José
12/8/2022,Male,luxury,249,543,105,Burgastai
8/30/2022,Female,adventure,425,145,106,Oyonnax
10/10/2022,Male,adventure,236,570,107,Argel
10/15/2022,Female,luxury,574,706,108,Ghār al Milḩ
1/24/2022,Male,luxury,102,454,109,Longford
11/5/2022,Male,adventure,510,2,110,Nieuw Nickerie
5/19/2022,Male,luxury,331,30,111,Halinów
5/31/2022,Female,beach,516,737,112,Vallenar
11/6/2022,Male,luxury,837,268,113,Jiangshan
9/3/2022,Female,adventure,1023,320,114,Washington
12/1/2022,Male,adventure,1150,833,115,Xiaolan
12/6/2022,Female,luxury,663,809,116,Rawawilis
11/9/2022,Male,adventure,1063,487,117,Ribeirão Pires
5/10/2022,Male,adventure,518,616,118,Shīeli
12/2/2022,Male,adventure,370,631,119,San Francisco
1/29/2022,Female,adventure,1087,328,120,Cantao-an
3/13/2022,Female,luxury,668,83,121,Wucheng
1/18/2022,Female,beach,384,514,122,Bamban
5/30/2022,Female,adventure,1019,964,123,Aubenas
2/10/2022,Bigender,adventure,58,884,124,Houba
12/8/2022,Male,luxury,723,937,125,Nine
11/29/2022,Female,adventure,870,928,126,Kisii
11/21/2022,Female,adventure,1025,553,127,Wisła
