InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
4570,2951,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,77,5/10/2022,38,1,Japan
3967,2854,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,34,1/25/2020,96,2,Czech Republic
6242,9903,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,80,12/15/2021,2,3,Indonesia
2449,5027,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,70,7/28/2022,11,4,Armenia
3654,4863,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus,34,1/29/2020,67,5,Egypt
8118,6552,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat,8,2/4/2022,18,6,Indonesia
1456,1346,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus,26,8/5/2021,30,7,Philippines
9087,7209,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,58,12/24/2022,48,8,France
9559,9990,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis,92,11/16/2020,29,9,Philippines
8045,6948,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,36,6/8/2022,58,10,China
5232,3261,sem sed sagittis nam congue risus semper porta volutpat quam,87,7/5/2020,77,11,Estonia
8932,5061,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,37,1/21/2022,69,12,Portugal
2652,3461,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,31,1/2/2022,41,13,Portugal
4090,9741,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis,12,7/27/2021,6,14,China
5705,7143,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,71,6/6/2020,40,15,Philippines
1381,8826,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in,79,10/4/2022,54,16,Russia
6956,4821,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,81,8/30/2021,59,17,South Georgia and the South Sandwich Islands
2999,2487,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo,7,7/18/2021,17,18,France
6680,5748,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,5,1/29/2021,51,19,China
9152,4026,ornare consequat lectus in est risus auctor sed tristique in tempus,95,3/8/2022,12,20,Colombia
8891,2677,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,6,10/5/2021,42,21,United States
1682,2372,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui,88,1/22/2021,19,22,Indonesia
3451,1938,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum,99,5/6/2021,24,23,Poland
7417,2956,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium,69,1/28/2020,99,24,Portugal
7911,8413,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede,71,6/29/2022,7,25,Philippines
