customer_id,status_customer,income_customer,vocation_package,total_spend,origin_city
1,Married,7268359,basic,39469014,Binlod
2,Unmarried,31556113,basic,8165719,Oratorio
3,Married,7786388,deluxe,44220524,Esperanza
4,Unmarried,32991659,basic,6859033,Bonanza
5,Unmarried,43324901,deluxe,39778586,Shingū
6,Unmarried,42445019,deluxe,2954678,Buyant
7,Married,41839586,basic,6242448,Jaguarão
8,Unmarried,16812660,deluxe,24593099,Lishui
9,Unmarried,29226019,premium,36099100,Caopie
10,Unmarried,49044989,premium,11374784,Peer
11,Married,36098852,basic,7966212,Quivilla
12,Unmarried,7130738,premium,32233745,Bolinao
13,Unmarried,24877835,basic,48840669,Palestina
14,Married,29302864,basic,40199409,Węgliniec
15,Married,47335038,basic,33335866,Muramatsu
16,Unmarried,48310974,premium,27687926,Detupia
17,Unmarried,33196356,premium,17330391,Suponevo
18,Unmarried,45167717,basic,24924744,Krasnyy Profintern
19,Married,24510584,basic,28372626,La Paz
20,Unmarried,3270760,deluxe,30859046,Karangboyo
21,Married,12151080,premium,12956214,Seshcha
22,Married,30535157,basic,39904590,Santa Cruz
23,Unmarried,36676199,premium,18733377,Vysoké nad Jizerou
24,Married,24147008,basic,26664653,Motala
25,Married,31174391,basic,48614985,Makar’yev
26,Unmarried,21494687,basic,33582432,Nàng Mau
27,Unmarried,26800516,premium,10938954,Wairinding
28,Unmarried,20563664,premium,45324516,Despotovac
29,Unmarried,33675446,premium,17840474,Chebba
30,Unmarried,34682442,basic,15533081,Al Jumaylīyah
31,Married,43253761,basic,27698194,Pirapozinho
32,Unmarried,38028916,premium,24040574,Białobrzegi
33,Married,24920932,deluxe,36905500,Heilongkou
34,Unmarried,46625349,deluxe,33589633,Xiejiaya
35,Married,8737935,premium,8631184,Meixi
36,Married,36861654,premium,47341227,Seattle
37,Unmarried,9320448,premium,20416991,Palma De Mallorca
38,Married,22834606,basic,3908750,Gyangkar
39,Unmarried,9897524,premium,35565382,Várzea de Sintra
40,Married,35759328,premium,4478088,Pateros
41,Married,3182383,basic,6558182,Nanterre
42,Unmarried,18226384,deluxe,4379953,Santa Catalina
43,Married,2910257,basic,44124593,Vale das Mós
44,Married,15628889,deluxe,25798734,Altunemil
45,Married,35552436,premium,44898485,Norrköping
