customer_id,hometown,gender,date,vacation_package_type,package_options,tickets_sold
1,Otavalo,Female,9/12/2022,beach,5500k,147
2,Perístasi,Female,3/26/2022,adventure,5500k,896
3,Ban Phaeo,Genderfluid,1/15/2022,adventure,1800k,523
4,Croix,Female,2/26/2022,luxury,3300k,328
5,Szubin,Genderfluid,1/11/2022,beach,1800k,79
6,Huanxi,Male,6/10/2022,adventure,5500k,842
7,Yishi,Female,10/2/2022,adventure,5500k,517
8,Gashua,Female,9/14/2022,adventure,1800k,598
9,Dayanggezhuang,Male,7/10/2022,luxury,3300k,508
10,Himeville,Female,10/11/2022,beach,1800k,641
11,Dongfeng,Female,10/26/2022,adventure,3300k,319
12,Bulalacao,Female,11/30/2022,adventure,1800k,616
13,Offa,Female,10/15/2022,beach,1800k,559
14,Sumberkemuning,Female,3/29/2022,adventure,1800k,792
15,Otutara,Female,11/5/2022,beach,3300k,898
16,Silongin,Female,7/31/2022,adventure,1800k,931
17,Jaroměřice,Female,6/29/2022,adventure,5500k,326
18,Yu’erhong,Female,5/21/2022,adventure,3300k,389
19,Xingxi,Male,3/5/2022,luxury,5500k,46
20,Lodan Wetan,Female,4/12/2022,adventure,5500k,838
21,Jackson,Male,7/20/2022,beach,1800k,728
22,‘Awaj,Female,1/17/2022,adventure,1800k,809
23,Timpas,Female,5/2/2022,luxury,3300k,963
24,Kuala Lumpur,Male,4/30/2022,adventure,5500k,562
25,Tsiroanomandidy,Male,3/9/2022,adventure,5500k,572
26,Neofbaun,Female,2/13/2022,beach,3300k,18
27,Yayao,Female,12/19/2022,luxury,5500k,63
28,Yangchengzhuang,Male,9/28/2022,adventure,1800k,987
29,Jiangtian,Genderfluid,2/10/2022,adventure,3300k,489
30,Presnenskiy,Female,7/16/2022,beach,3300k,586
31,Karaundi,Male,12/24/2022,adventure,3300k,845
32,Issenye,Agender,2/14/2022,luxury,1800k,477
33,Jubb Ramlah,Male,8/22/2022,adventure,3300k,914
34,Zhonghuopu,Female,11/11/2022,luxury,5500k,266
35,Fort Wayne,Female,12/26/2022,beach,3300k,886
36,Novaya Igirma,Male,8/12/2022,beach,5500k,643
37,Simpang,Female,4/30/2022,luxury,5500k,595
38,Okpo,Female,12/27/2022,beach,5500k,848
39,Gori,Female,9/20/2022,adventure,1800k,945
40,Bogorejo,Male,5/27/2022,luxury,1800k,33
41,Vancouver,Male,5/16/2022,beach,5500k,469
42,Sinamar,Female,10/17/2022,adventure,5500k,524
