customer_id,status_customer,income_customer,vocation_package,total_spend,origin_city
1,Married,"$7,268,359",basic,"$39,469,014",Binlod
2,Unmarried,"$31,556,113",basic,"$8,165,719",Oratorio
3,Married,"$7,786,388",deluxe,"$44,220,524",Esperanza
4,Unmarried,"$32,991,659",basic,"$6,859,033",Bonanza
5,Unmarried,"$43,324,901",deluxe,"$39,778,586",Shingū
6,Unmarried,"$42,445,019",deluxe,"$2,954,678",Buyant
7,Married,"$41,839,586",basic,"$6,242,448",Jaguarão
8,Unmarried,"$16,812,660",deluxe,"$24,593,099",Lishui
9,Unmarried,"$29,226,019",premium,"$36,099,100",Caopie
10,Unmarried,"$49,044,989",premium,"$11,374,784",Peer
11,Married,"$36,098,852",basic,"$7,966,212",Quivilla
12,Unmarried,"$7,130,738",premium,"$32,233,745",Bolinao
13,Unmarried,"$24,877,835",basic,"$48,840,669",Palestina
14,Married,"$29,302,864",basic,"$40,199,409",Węgliniec
15,Married,"$47,335,038",basic,"$33,335,866",Muramatsu
16,Unmarried,"$48,310,974",premium,"$27,687,926",Detupia
17,Unmarried,"$33,196,356",premium,"$17,330,391",Suponevo
18,Unmarried,"$45,167,717",basic,"$24,924,744",Krasnyy Profintern
19,Married,"$24,510,584",basic,"$28,372,626",La Paz
20,Unmarried,"$3,270,760",deluxe,"$30,859,046",Karangboyo
21,Married,"$12,151,080",premium,"$12,956,214",Seshcha
22,Married,"$30,535,157",basic,"$39,904,590",Santa Cruz
23,Unmarried,"$36,676,199",premium,"$18,733,377",Vysoké nad Jizerou
24,Married,"$24,147,008",basic,"$26,664,653",Motala
25,Married,"$31,174,391",basic,"$48,614,985",Makar’yev
26,Unmarried,"$21,494,687",basic,"$33,582,432",Nàng Mau
27,Unmarried,"$26,800,516",premium,"$10,938,954",Wairinding
28,Unmarried,"$20,563,664",premium,"$45,324,516",Despotovac
29,Unmarried,"$33,675,446",premium,"$17,840,474",Chebba
30,Unmarried,"$34,682,442",basic,"$15,533,081",Al Jumaylīyah
31,Married,"$43,253,761",basic,"$27,698,194",Pirapozinho
32,Unmarried,"$38,028,916",premium,"$24,040,574",Białobrzegi
33,Married,"$24,920,932",deluxe,"$36,905,500",Heilongkou
34,Unmarried,"$46,625,349",deluxe,"$33,589,633",Xiejiaya
