date,gender,vacation_package_type,price_range,tickets_sold,customer_id,origin_city
6/29/2022,Female,luxury,1924,771,1,Crnilište
12/16/2022,Female,luxury,1822,69,2,Zhenghu
12/28/2022,Female,adventure,1205,380,3,Meaux
6/9/2022,Male,adventure,1343,533,4,Oslo
7/2/2022,Female,beach,528,163,5,Yatunpu
7/24/2022,Female,beach,1703,608,6,Condong
7/13/2022,Male,beach,1455,777,7,Rakiv Lis
4/3/2022,Male,luxury,1093,795,8,Nam Kliang
10/28/2022,Non-binary,luxury,804,763,9,Vilque Chico
4/29/2022,Female,beach,1584,796,10,Bosanski Brod
4/27/2022,Male,beach,1667,245,11,Ferdinandovac
10/9/2022,Male,adventure,1113,672,12,Arroio Grande
12/3/2022,Male,beach,1383,70,13,Sikur
11/3/2022,Female,luxury,1006,278,14,Vorzel’
10/15/2022,Female,adventure,1133,112,15,Isabela
3/26/2022,Male,beach,794,900,16,Qianying
4/28/2022,Male,luxury,1575,266,17,Revelstoke
12/29/2022,Male,beach,1708,276,18,Chilly-Mazarin
8/28/2022,Male,beach,648,523,19,Šluknov
1/12/2022,Male,adventure,1400,439,20,Jiancheng
11/7/2022,Male,adventure,1119,274,21,Perpignan
3/8/2022,Genderqueer,luxury,757,44,22,Sandaohezi
10/9/2022,Male,luxury,1928,708,23,Thetford-Mines
8/7/2022,Male,adventure,855,641,24,Taikang
3/11/2022,Female,luxury,1538,862,25,Kuantan
11/5/2022,Female,adventure,1854,183,26,Anjihai
10/25/2022,Female,beach,1330,862,27,Kafr Miṣr
1/1/2022,Male,adventure,912,394,28,Kowale
1/9/2022,Male,luxury,1811,29,29,Paraipaba
9/12/2022,Non-binary,luxury,1713,900,30,Jiangjing
6/20/2022,Male,adventure,1265,367,31,Zhitan
8/13/2022,Female,luxury,1735,549,32,New Orleans
6/14/2022,Female,luxury,756,508,33,Hamanoichi
2/7/2022,Male,adventure,1551,626,34,San Nicolás
8/29/2022,Male,beach,1393,474,35,Qijiaxi
11/3/2022,Polygender,beach,1723,734,36,Daxing
9/11/2022,Female,adventure,826,659,37,New Yekepa
2/22/2022,Male,beach,730,818,38,Campos
11/29/2022,Female,adventure,1580,820,39,Adamantina
2/26/2022,Female,adventure,1020,159,40,Lidingö
3/13/2022,Polygender,adventure,1685,217,41,Shentang
4/16/2022,Genderfluid,luxury,1264,542,42,Sidirókastro
11/10/2022,Genderqueer,adventure,935,566,43,Espírito Santo do Pinhal
4/15/2022,Female,luxury,1095,471,44,Hobscheid
4/3/2022,Female,adventure,1127,362,45,Nanxindian
1/21/2022,Male,beach,1652,655,46,Qianhong
9/19/2022,Female,adventure,1722,656,47,Pacobamba
6/18/2022,Male,luxury,1478,35,48,Boquira
11/13/2022,Genderfluid,adventure,832,468,49,Neglasari
3/4/2022,Female,luxury,657,360,50,Samal
10/21/2022,Female,luxury,1235,184,51,Sammatti
11/7/2022,Female,beach,976,34,52,Mirotice
1/14/2022,Male,luxury,1766,766,53,Yunxi
10/30/2022,Female,luxury,1430,807,54,Neos Voutzás
4/6/2022,Female,luxury,1832,42,55,Växjö
9/1/2022,Female,luxury,947,445,56,Anin
3/20/2022,Male,adventure,768,596,57,Tomilino
7/17/2022,Female,luxury,1803,94,58,São Tomé
9/16/2022,Male,adventure,869,69,59,Fomento
11/17/2022,Non-binary,luxury,630,113,60,Knivsta
6/28/2022,Polygender,beach,1959,603,61,Ribeira das Taínhas
4/25/2022,Female,luxury,1007,44,62,Jenamas
5/10/2022,Male,adventure,1257,330,63,Puerto San José
11/3/2022,Male,beach,1987,995,64,Myaydo
12/25/2022,Female,adventure,1698,862,65,Vřesina
10/10/2022,Female,adventure,1961,610,66,Zacatecoluca
11/8/2022,Female,luxury,580,200,67,Kayan
7/26/2022,Female,luxury,1519,494,68,Všemina
5/9/2022,Male,adventure,995,501,69,Norfolk
2/8/2022,Male,adventure,584,31,70,Don Mueang
5/13/2022,Male,beach,1736,76,71,Gandusari
6/17/2022,Female,adventure,618,458,72,Rancanyenang
4/27/2022,Male,luxury,1212,70,73,Nagbalaye
10/7/2022,Male,beach,1406,395,74,Binjiang
8/13/2022,Female,luxury,1205,324,75,Rönninge
4/6/2022,Male,luxury,717,309,76,Haodian
8/27/2022,Agender,luxury,1265,654,77,Puger
10/17/2022,Male,adventure,662,402,78,Zakliczyn
6/30/2022,Genderfluid,adventure,1011,772,79,Bankaw
