date,gender,vacation_package_type,price_range,tickets_sold,customer_id,origin_city
8/7/2022,Female,adventure,694.76,388,1,Al Judayrah
2/25/2022,Female,luxury,847.08,958,2,Borehbangle
8/10/2022,Female,luxury,1142.63,868,3,Liangting
5/14/2022,Female,beach,589.55,378,4,Wañgan
3/21/2022,Male,adventure,1643.39,986,5,Peseng
3/21/2022,Male,adventure,510.79,847,6,Obolensk
5/8/2022,Female,adventure,913.18,572,7,Pandan
1/30/2022,Male,luxury,579.58,196,8,Knoxville
11/26/2022,Female,luxury,1247.36,148,9,Kuhmoinen
2/23/2022,Male,beach,990.16,848,10,Chok Chai
9/6/2022,Male,adventure,1727.48,967,11,Guacamaya
10/6/2022,Male,adventure,880.78,34,12,Jinchang
2/13/2022,Male,beach,675.71,967,13,Södertälje
2/27/2022,Male,beach,909.12,353,14,Palaiomonástiron
3/5/2022,Genderfluid,luxury,1879.64,935,15,Chengji
10/13/2022,Male,adventure,1196.5,316,16,Machado
10/2/2022,Male,adventure,1324.09,757,17,Potulando
12/11/2022,Male,luxury,1060.08,58,18,Sukamaju
11/4/2022,Female,adventure,1388.96,3,19,Rozsypne
9/11/2022,Genderqueer,beach,1712.96,195,20,Perbaungan
3/4/2022,Female,adventure,961.59,916,21,Örebro
6/15/2022,Female,luxury,1328.49,758,22,Buzuluk
9/18/2022,Female,beach,1793.82,72,23,Phúc Yên
8/12/2022,Male,adventure,1328.71,660,24,Di Linh
8/3/2022,Non-binary,luxury,1850.37,364,25,Kotawaikabubak
6/5/2022,Female,adventure,586.28,515,26,Alcaria da Serra
7/3/2022,Female,luxury,1843.92,535,27,Kizel
9/12/2022,Male,beach,778.11,389,28,Maralik
9/22/2022,Female,beach,728.11,253,29,Talata Mafara
10/16/2022,Bigender,beach,649.53,7,30,San Mariano
1/13/2022,Female,luxury,1540.37,75,31,Hägersten
7/29/2022,Female,beach,1438.16,783,32,Jajar
4/26/2022,Male,luxury,698.62,654,33,Donglinxi
4/21/2022,Genderfluid,adventure,1881.34,748,34,Amirdzhan
6/30/2022,Agender,luxury,1858.25,99,35,Kubachi
2/13/2022,Female,luxury,1981.08,560,36,Jiwei
2/4/2022,Male,beach,799.49,769,37,Bollstabruk
9/5/2022,Male,luxury,1025.95,85,38,Sumberpandan
9/9/2022,Female,adventure,1444.45,290,39,Pelym
6/15/2022,Bigender,adventure,503.79,597,40,Örebro
10/16/2022,Male,beach,1695.78,41,41,Xiangshan
9/22/2022,Female,luxury,1667.05,791,42,Obukhiv
11/23/2022,Female,beach,1123.34,252,43,San Rafael
5/25/2022,Female,luxury,1444.36,870,44,Bandung
1/10/2022,Genderqueer,adventure,1738.06,892,45,Qijiazuo
11/28/2022,Female,beach,1007.23,830,46,Libertad
12/9/2022,Male,adventure,1670.76,634,47,Kapasan
11/28/2022,Female,beach,1304.61,716,48,Arroio do Meio
12/4/2022,Female,adventure,1893.09,600,49,Mokwa
5/6/2022,Female,beach,1586.41,392,50,Koszarawa
5/18/2022,Female,beach,1588.64,135,51,Banjar Pangkungkarung Kangin
4/8/2022,Female,adventure,1314.13,511,52,Looc
4/13/2022,Female,adventure,1531.96,388,53,Semampir
12/19/2022,Female,beach,1973.75,262,54,Gapyeong
6/3/2022,Male,beach,1686.23,788,55,Vila Verde
9/5/2022,Male,adventure,821.81,481,56,Puyung
12/2/2022,Female,beach,1618.04,484,57,Skhira
3/21/2022,Male,beach,1007.74,529,58,Jipijapa
11/5/2022,Male,adventure,719.21,765,59,Santa Cruz del Sur
10/11/2022,Genderfluid,adventure,1335.64,654,60,Mamer
8/11/2022,Female,beach,1517.75,925,61,Goseong
11/18/2022,Female,adventure,1023.26,80,62,La Cruz
7/17/2022,Male,luxury,1294.81,613,63,Pantijan No 2
10/2/2022,Female,adventure,1674.29,65,64,Shigu
7/13/2022,Male,beach,820.33,849,65,Lianglin
11/3/2022,Female,beach,518.12,304,66,Ladysmith
7/7/2022,Female,luxury,1053.51,313,67,Pochuta
9/19/2022,Genderqueer,adventure,1266.16,972,68,Le Mans
9/23/2022,Female,beach,1949.01,15,69,Vykhino-Zhulebino
1/1/2022,Male,luxury,935.56,655,70,Neochóri
2/8/2022,Female,luxury,1614.81,740,71,Jamaica
4/30/2022,Female,luxury,1877.66,969,72,Havířov
12/24/2022,Male,luxury,1143.36,31,73,Carnaxide
8/3/2022,Male,luxury,1497.72,117,74,Pancalan
5/9/2022,Female,luxury,945.62,315,75,Trzciana
8/25/2022,Genderqueer,beach,899.88,686,76,Kasreman Wetan
2/16/2022,Female,beach,630.69,757,77,Thị Trấn Hùng Quốc
12/17/2022,Female,luxury,1783.4,223,78,Gelan
4/19/2022,Female,luxury,1891.51,430,79,Abashiri
7/18/2022,Genderqueer,luxury,1675.01,619,80,Maronge
12/22/2022,Male,adventure,1591.09,707,81,Córdoba
11/2/2022,Female,luxury,1672.76,149,82,Złoczew
8/11/2022,Female,adventure,530.79,733,83,San Antonio
3/27/2022,Female,adventure,1895.8,117,84,Dlemer
12/3/2022,Agender,luxury,543.91,451,85,Oslo
7/6/2022,Female,beach,1192.85,226,86,Calsib
6/7/2022,Male,luxury,625.13,468,87,Ar Rahad
3/23/2022,Female,beach,1864.06,650,88,Bolaoit
10/29/2022,Genderqueer,adventure,1421.8,419,89,Paris 17
9/13/2022,Female,adventure,1458.28,983,90,Huanghu
4/7/2022,Bigender,adventure,1310.5,202,91,Fresno
5/10/2022,Male,luxury,1258.93,777,92,Vynohradiv
6/30/2022,Male,beach,1525.66,966,93,Radovitskiy
4/28/2022,Genderfluid,beach,1641.17,388,94,Zhangduangu
10/24/2022,Female,adventure,792.16,334,95,Mueang Nonthaburi
10/28/2022,Male,beach,1699.27,670,96,Xinglong
7/29/2022,Male,adventure,1073.18,748,97,Cikuya
6/11/2022,Male,beach,1147.04,689,98,Jian’ou
12/4/2022,Female,beach,1467.58,764,99,Karlstad
1/14/2022,Male,luxury,1989.94,945,100,Södertälje
4/23/2022,Male,adventure,1717.34,604,101,Jingxin
2/14/2022,Male,luxury,1088.34,653,102,Dashiju
9/7/2022,Male,adventure,1087.04,434,103,Santo Aleixo
3/8/2022,Male,adventure,1181.67,105,104,Don Carlos
11/28/2022,Female,beach,1093.83,509,105,Kota Kinabalu
2/26/2022,Female,luxury,1907.8,763,106,Jajar
1/15/2022,Male,luxury,1782.75,504,107,Tarsouat
6/8/2022,Male,adventure,1421.35,926,108,Dorp Antriol
1/16/2022,Male,adventure,947.68,218,109,Caspisapa
12/17/2022,Female,adventure,836.38,11,110,Vazante
11/28/2022,Female,luxury,1908.43,273,111,Santa María Chiquimula
6/8/2022,Agender,beach,1719.98,809,112,Kohila
6/21/2022,Male,beach,1137.28,379,113,Uglovoye
8/27/2022,Female,beach,1428.49,629,114,Göteborg
8/2/2022,Female,beach,1036.65,698,115,Enschede
2/24/2022,Female,luxury,830.0,673,116,Ḩājī Khēl
8/10/2022,Male,beach,644.4,625,117,Poykovskiy
7/19/2022,Female,beach,1413.87,344,118,La Colorada
7/12/2022,Non-binary,beach,564.1,224,119,Pamanukan
4/10/2022,Genderqueer,beach,1741.36,103,120,Nansheng
11/26/2022,Female,beach,1577.44,776,121,Một Ngàn
1/13/2022,Female,luxury,1313.33,736,122,Nanshi
5/23/2022,Male,luxury,1709.83,682,123,Qinghua
3/10/2022,Male,adventure,880.08,416,124,Sukarara Utara
2/6/2022,Male,adventure,1240.45,97,125,Tha Uthen
